version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,nguyenvietthang,baseline,v0+pf0c107a9d7a1+t011c271ef0bb,f0c107a9d7a1,011c271ef0bb,Baseline evaluation,Initial baseline run with default prompt and tool declarations,case_accuracy,0.0,0.65,runs/v0_B_base_openai_20260729T100752903659.json
v1,nguyenvietthang,"system_prompt.md, tools.yaml, tools/weather/",v1+p9fbb35085623+t033a4ad8bc9b,9fbb35085623,033a4ad8bc9b,Refine clarify description & Add new weather tool,Refining clarify prompt rules and adding new weather tool via OpenWeather API improves routing accuracy and capability,case_accuracy,0.65,0.85,runs/v1_B_base_openai_20260729T105925854415.json
v2,nguyenvietthang,"system_prompt.md, data/eval_group.json",v2+pbfcd57cf11d4+t4b2cd496af97,bfcd57cf11d4,4b2cd496af97,Add 10 team eval cases & Enforce clarify tool boundary,Enforcing mandatory clarify tool usage and city name normalization achieves 100% Group accuracy and 85% Base accuracy,case_accuracy,0.85,0.85,runs/v2_B_base_openai_20260729T112609193358.json
v2_group,nguyenvietthang,data/eval_group.json,v2+pbfcd57cf11d4+t4b2cd496af97,bfcd57cf11d4,4b2cd496af97,Evaluate 10 team cases,Evaluating team eval suite with 5 single-turn and 5 multi-turn cases achieves 100% accuracy,case_accuracy,0.0,1.0,runs/v2_B_group_openai_20260729T114248739983.json
